maker,model,year,engineType,engineCylinders,engineSize,bodyType
Acura,ILX,2020,gas,I4,2.4,Sedan
Acura,ILX,2020,gas,I4,2.4,Sedan
Acura,ILX,2020,gas,I4,2.4,Sedan
Acura,ILX,2020,gas,I4,2.4,Sedan
Acura,ILX,2020,gas,I4,2.4,Sedan
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,gas,V6,3.5,SUV
Acura,MDX,2020,hybrid,V6,3,SUV
Acura,MDX,2020,hybrid,V6,3,SUV
Acura,NSX,2020,hybrid,V6,3.5,Coupe
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RDX,2020,gas,I4,2,SUV
Acura,RLX,2020,gas,V6,3.5,Sedan
Acura,RLX,2020,hybrid,V6,3.5,Sedan
Acura,TLX,2020,gas,I4,2.4,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,I4,2.4,Sedan
Acura,TLX,2020,gas,I4,2.4,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,I4,2.4,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Acura,TLX,2020,gas,V6,3.5,Sedan
Alfa Romeo,4C,2020,gas,I4,1.7,Coupe
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,V6,2.9,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Giulia,2020,gas,I4,2,Sedan
Alfa Romeo,Stelvio,2020,gas,I4,2,SUV
Alfa Romeo,Stelvio,2020,gas,I4,2,SUV
Alfa Romeo,Stelvio,2020,gas,V6,2.9,SUV
Alfa Romeo,Stelvio,2020,gas,I4,2,SUV
Alfa Romeo,Stelvio,2020,gas,I4,2,SUV
