Question ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
1,What does a red traffic light mean?,Stop behind the stop line,Slow down and proceed cautiously,Speed up to cross before it turns red,Flash your headlights and continue,B,You must stop behind the stop line or at the edge of the intersection until the light turns green.
2,What is the purpose of a pedestrian crossing (zebra crossing)?,To allow drivers to overtake slowly,To give pedestrians priority,To indicate a school zone,To mark a parking area,B,Zebra crossings give pedestrians the right of way.
3,When must you use your headlights?,Only at night,"In fog, rain, or darkness",During daylight hours,Only on highways,B,Headlights improve visibility in poor weather or low-light conditions.
4,What does a speed limit sign with a red circle mean?,Minimum speed limit,Maximum speed limit,Recommended speed,Speed bumps ahead,B,Red circles indicate prohibitions or limits.
5,What should you do if you see a yellow traffic light?,Speed up to beat the red light,Stop if it is safe to do so,Ignore it and continue driving,Honk your horn,B,Yellow means prepare to stop unless already in the intersection.
6,When must you wear a seatbelt?,Only on highways,Only if passengers are present,At all times while the vehicle is moving,Only for long journeys,B,Seatbelts reduce injury risk in collisions.
7,What does a broken white line on the road mean?,No overtaking allowed,Overtaking is permitted if safe,Stop ahead,School zone,B,Broken lines allow safe overtaking.
8,What is the legal blood alcohol limit for drivers?,0.08%,0.05%,0.03%,0.00% (zero tolerance),B,Zero tolerance is safest for drivers.
9,"When approaching a roundabout, you should...",Speed up to enter quickly,Yield to traffic coming from the right,Honk your horn,Always stop completely,B,Traffic already in the roundabout has priority.
10,Triangular road signs indicate...,A mandatory instruction,A warning,A destination,A service area,B,Warning signs are triangular with red borders.
11,When should you use hazard lights?,When parking illegally,When your vehicle is broken down,When overtaking,When driving slowly in heavy traffic,B,Hazard lights warn of danger or stopped vehicles.
12,Traffic light sequence:,"Red, Amber, Green","Red, Green, Amber","Green, Amber, Red","Amber, Red, Green",B,Standard sequence for most traffic lights.
13,Missed highway exit: What should you do?,Reverse on the highway,Make a U-turn immediately,Continue to the next exit,Stop and ask for directions,B,Reversing or U-turns on highways are illegal.
14,Blue circle sign with a white arrow means...,Prohibited turn,Mandatory direction,Detour,No entry,B,Blue circles indicate mandatory instructions.
15,Minimum driving age in most countries?,15,16,18,21,B,Varies by country; 16 is common.
16,When should you NOT use your phone?,While parked,With hands-free device,At a traffic light,Never while operating the vehicle,B,Phone use distracts drivers.
17,Tire blowout: What should you do?,Slam brakes,Grip steering wheel and slow gradually,Accelerate,Turn off engine,B,Gradual control prevents skidding.
18,Purpose of anti-lock brakes (ABS)?,Reduce fuel consumption,Prevent wheel lock during braking,Increase speed,Reduce tire wear,B,ABS prevents skidding during emergency stops.
19,When to dip headlights?,In fog,Close following,Oncoming traffic,All of the above,B,Dipping prevents blinding other drivers.
20,Solid white line at road edge means...,Road edge,Pedestrian zone,No overtaking,Bicycle path,B,White lines mark road edges.
21,Flashing red light at railroad crossing: What to do?,Speed up,Stop until lights stop flashing,Ignore it,Honk,B,Trains have priority.
